Experiment;Normalized;Distance;K;Accuracy;F1Score;Execution Time
features_20_10;0;euclidean;1;0.908;0.9086722330687227;0.48502588272094727
features_20_10;0;euclidean;3;0.905;0.9063263005337628;1.2704219818115234
features_20_10;0;euclidean;4;0.898;0.9003661327592072;2.076195001602173
features_20_10;0;euclidean;5;0.901;0.9029793999470688;2.8885927200317383
features_20_10;0;euclidean;6;0.884;0.8867510248485693;3.690549850463867
features_20_10;0;euclidean;7;0.886;0.8886632022205343;4.567081928253174
features_20_10;0;euclidean;8;0.881;0.8832207776190878;5.417038917541504
features_20_10;0;euclidean;9;0.884;0.8865909540663988;6.2176268100738525
features_20_10;0;euclidean;10;0.879;0.8814446808466868;7.067450046539307
features_20_10;0;euclidean;11;0.883;0.8849821269053333;7.92000675201416
features_20_10;0;euclidean;12;0.874;0.8758388436662567;8.762006998062134
features_20_10;0;euclidean;13;0.871;0.8727908659898784;9.668593883514404
features_20_10;0;manhattan;1;0.908;0.9086722330687227;10.491109132766724
features_20_10;0;manhattan;3;0.905;0.9063263005337628;11.362957000732422
features_20_10;0;manhattan;4;0.898;0.9003661327592072;12.222981691360474
features_20_10;0;manhattan;5;0.901;0.9029793999470688;13.028911113739014
features_20_10;0;manhattan;6;0.884;0.8867510248485693;13.86125373840332
features_20_10;0;manhattan;7;0.886;0.8886632022205343;14.702729940414429
features_20_10;0;manhattan;8;0.881;0.8832207776190878;15.562971830368042
features_20_10;0;manhattan;9;0.884;0.8865909540663988;16.37932276725769
features_20_10;0;manhattan;10;0.879;0.8814446808466868;17.19932985305786
features_20_10;0;manhattan;11;0.883;0.8849821269053333;18.03612780570984
features_20_10;0;manhattan;12;0.874;0.8758388436662567;18.836993932724
features_20_10;0;manhattan;13;0.871;0.8727908659898784;19.66070294380188
features_20_10;1;euclidean;1;0.908;0.9086722330687227;20.5080668926239
features_20_10;1;euclidean;3;0.905;0.9063263005337628;21.358371019363403
features_20_10;1;euclidean;4;0.898;0.9003661327592072;22.212087869644165
features_20_10;1;euclidean;5;0.901;0.9029793999470688;23.055327892303467
features_20_10;1;euclidean;6;0.884;0.8867510248485693;23.896999835968018
features_20_10;1;euclidean;7;0.886;0.8886632022205343;24.675482749938965
features_20_10;1;euclidean;8;0.881;0.8832207776190878;25.444772005081177
features_20_10;1;euclidean;9;0.884;0.8865909540663988;26.274877786636353
features_20_10;1;euclidean;10;0.879;0.8814446808466868;27.17563796043396
features_20_10;1;euclidean;11;0.883;0.8849821269053333;28.029488801956177
features_20_10;1;euclidean;12;0.874;0.8758388436662567;28.870788097381592
features_20_10;1;euclidean;13;0.871;0.8727908659898784;29.79972195625305
