Experiment;Normalized;Distance;K;Accuracy;Execution Time
features_30_60;0;euclidean;10;0.891;258.0524878501892
features_30_60;0;euclidean;11;0.892;266.51229310035706
features_30_60;0;euclidean;12;0.883;274.80955696105957
features_30_60;0;euclidean;13;0.878;283.2582960128784
features_30_60;0;manhattan;3;0.916;291.31258606910706
features_30_60;0;manhattan;4;0.906;299.11671209335327
features_30_60;0;manhattan;5;0.914;306.85827922821045
features_30_60;0;manhattan;6;0.906;314.62778210639954
features_30_60;0;manhattan;7;0.901;322.33461022377014
features_30_60;0;manhattan;8;0.897;330.2442009449005
features_30_60;0;manhattan;9;0.894;338.16792917251587
features_30_60;0;manhattan;10;0.891;345.9221980571747
features_30_60;0;manhattan;11;0.892;353.68728399276733
features_30_60;0;manhattan;12;0.883;361.3925151824951
features_30_60;0;manhattan;13;0.878;369.0788609981537
features_30_60;1;euclidean;3;0.916;377.00871300697327
features_30_60;1;euclidean;4;0.906;385.1814022064209
features_30_60;1;euclidean;5;0.914;393.37959909439087
features_30_60;1;euclidean;6;0.906;401.51812505722046
features_30_60;1;euclidean;7;0.901;409.6645429134369
features_30_60;1;euclidean;8;0.897;417.82036089897156
features_30_60;1;euclidean;9;0.894;425.9679880142212
features_30_60;1;euclidean;10;0.891;434.11913228034973
features_30_60;1;euclidean;11;0.892;442.277672290802
features_30_60;1;euclidean;12;0.883;450.44837403297424
features_30_60;1;euclidean;13;0.878;458.61694407463074
features_30_60;1;manhattan;3;0.916;466.56705713272095
features_30_60;1;manhattan;4;0.906;474.29735016822815
features_30_60;1;manhattan;5;0.914;482.06171011924744
features_30_60;1;manhattan;6;0.906;489.78518509864807
features_30_60;1;manhattan;7;0.901;497.5066201686859
features_30_60;1;manhattan;8;0.897;505.24106001853943
features_30_60;1;manhattan;9;0.894;513.0194501876831
features_30_60;1;manhattan;10;0.891;520.8171491622925
features_30_60;1;manhattan;11;0.892;528.5894410610199
features_30_60;1;manhattan;12;0.883;536.3184061050415
features_30_60;1;manhattan;13;0.878;544.1176071166992
features_46_36;0;euclidean;3;0.919;551.6543810367584
features_46_36;0;euclidean;4;0.903;559.1075818538666
features_46_36;0;euclidean;5;0.915;566.6041071414948
features_46_36;0;euclidean;6;0.908;574.1022040843964
features_46_36;0;euclidean;7;0.907;581.5708811283112
features_46_36;0;euclidean;8;0.893;589.0202779769897
features_46_36;0;euclidean;9;0.899;596.4855580329895
features_46_36;0;euclidean;10;0.889;603.9217550754547
features_46_36;0;euclidean;11;0.89;611.3516700267792
features_46_36;0;euclidean;12;0.879;618.7952761650085
features_46_36;0;euclidean;13;0.877;626.2319459915161
features_46_36;0;manhattan;3;0.919;633.4809520244598
features_46_36;0;manhattan;4;0.903;640.5521330833435
features_46_36;0;manhattan;5;0.915;647.5952990055084
features_46_36;0;manhattan;6;0.908;654.7094910144806
features_46_36;0;manhattan;7;0.907;661.7862441539764
features_46_36;0;manhattan;8;0.893;668.8497540950775
features_46_36;0;manhattan;9;0.899;675.9489030838013
features_46_36;0;manhattan;10;0.889;683.0124249458313
features_46_36;0;manhattan;11;0.89;690.0799779891968
features_46_36;0;manhattan;12;0.879;697.1836621761322
