X_Source;Y_Source;X;Y;File Size;Execution Time
10;20;10;20;2180534;1.69358229637146
20;40;20;40;9377970;5.442608118057251
30;60;30;60;22978779;12.252719163894653
med_x;med_y;46;36;20962221;11.238472938537598
max_x;max_y;81;99;110050116;52.76872897148132
