5311;5;22;34;17;6;106;6;52;1
2;5354;142;295;259;86;255;67;78;117
21;18;5551;89;12;1;48;97;49;2
5;5;42;5552;22;40;2;102;17;32
34;7;29;1;5298;2;113;42;7;189
7;10;27;568;104;4617;56;35;70;45
81;23;0;1;30;114;5487;0;122;0
0;42;34;120;172;3;0;5526;15;185
117;42;52;59;101;47;69;75;4856;277
54;24;9;154;269;0;4;162;13;5124
