Classifier,F1Score,Accuracy,Execution Time (s)
naive_bayes,0.724,0.766,4.304
lda,0.754,0.802,18.007
logistic_regression,0.71,0.796,51.788
perceptron,0.715,0.757,1.34
knn,0.694,0.695,2268.061
